Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Keljin Blevins,12,0,73,4.4,11.3,0.391,3.0,6.9,0.429,1.5,4.4,0.333,0.0,1.0,0.0,1.0,3.0,3.9,2.0,0.0,0.0,3.0,2.5,11.8
Bogdan Bogdanović,36,26,1027,5.7,13.8,0.417,3.0,8.2,0.363,2.8,5.6,0.497,1.3,1.6,0.8,0.4,4.3,4.7,3.7,1.1,0.2,1.3,2.5,15.7
Bojan Bogdanović,53,53,1641,7.1,15.5,0.459,2.8,7.4,0.382,4.3,8.1,0.53,3.8,4.4,0.871,1.0,4.1,5.1,2.0,0.5,0.0,1.9,2.0,20.9
Bol Bol,14,0,81,6.7,12.0,0.556,0.4,1.8,0.25,6.2,10.2,0.609,0.9,2.2,0.4,1.8,7.1,8.9,2.2,0.4,0.9,1.8,1.8,14.7
Leandro Bolmaro,25,2,188,1.7,6.1,0.281,0.4,2.3,0.167,1.3,3.8,0.35,1.5,1.7,0.889,2.9,3.8,6.7,2.1,1.0,0.0,2.3,4.0,5.4
Isaac Bonga,13,0,66,1.6,7.1,0.231,0.5,2.2,0.25,1.1,4.9,0.222,2.2,3.3,0.667,2.2,1.6,3.8,1.6,3.8,1.1,1.1,5.5,6.0
Devin Booker,47,47,1598,9.9,22.0,0.45,2.8,7.5,0.373,7.1,14.4,0.49,4.6,5.4,0.857,0.8,4.8,5.6,4.6,1.0,0.3,2.5,2.7,27.2
Brandon Boston Jr.,39,0,605,5.5,15.2,0.363,1.5,5.4,0.289,4.0,9.9,0.404,2.8,3.3,0.855,0.8,4.7,5.5,2.0,1.2,0.6,1.5,2.0,15.4
Chris Boucher,51,8,1028,5.8,12.5,0.461,1.4,4.9,0.279,4.4,7.6,0.578,3.2,4.2,0.767,3.7,6.8,10.5,0.6,1.2,1.9,1.1,3.9,16.1
James Bouknight,25,0,249,6.1,16.5,0.368,2.0,5.9,0.341,4.0,10.6,0.384,3.3,3.9,0.852,2.5,3.0,5.5,2.7,0.7,0.0,1.4,3.2,17.5
Avery Bradley,48,41,1139,3.8,9.3,0.41,2.1,5.5,0.376,1.7,3.8,0.458,0.4,0.4,0.857,0.8,2.7,3.5,1.3,1.4,0.3,1.0,2.9,10.0
Tony Bradley,41,7,474,4.6,8.0,0.581,0.0,0.0,,4.6,8.0,0.581,1.1,1.5,0.7,4.1,7.7,11.8,1.6,0.8,2.1,2.0,4.1,10.3
Ignas Brazdeikis,25,0,228,4.1,11.2,0.366,1.6,5.2,0.303,2.5,6.0,0.421,1.4,1.9,0.75,1.6,3.8,5.4,3.0,0.9,0.2,1.3,3.9,11.2
Mikal Bridges,54,54,1877,5.4,10.3,0.522,1.4,3.9,0.369,4.0,6.4,0.615,1.3,1.5,0.875,1.1,3.4,4.4,2.2,1.3,0.5,0.8,2.0,13.6
Miles Bridges,54,54,1941,7.4,15.3,0.485,1.8,5.9,0.31,5.6,9.4,0.593,3.2,4.0,0.797,1.2,6.0,7.1,3.6,1.1,0.9,1.8,2.7,19.9
Oshae Brissett,43,1,822,4.2,10.4,0.403,1.6,4.7,0.333,2.6,5.7,0.462,2.1,3.2,0.658,2.5,5.8,8.2,1.4,1.1,0.6,1.4,2.6,12.1
Malcolm Brogdon,28,28,934,7.1,15.8,0.448,1.8,5.8,0.307,5.3,10.1,0.529,4.0,4.7,0.861,0.9,4.6,5.6,6.4,0.9,0.4,2.4,2.2,20.0
Armoni Brooks,41,8,690,4.5,13.1,0.347,3.3,11.1,0.3,1.2,2.0,0.605,0.8,1.0,0.842,0.6,3.6,4.2,2.6,1.1,0.4,1.2,3.1,13.3
Dillon Brooks,21,20,587,8.9,20.9,0.426,2.0,6.2,0.327,6.9,14.7,0.469,3.9,4.4,0.889,1.0,3.2,4.2,3.5,1.7,0.2,2.3,4.2,23.7
Bruce Brown,45,19,924,4.5,9.4,0.477,0.4,1.4,0.297,4.1,7.9,0.51,1.2,1.6,0.738,2.1,5.3,7.5,2.1,1.6,0.9,1.2,4.1,10.6
Charlie Brown Jr.,17,2,166,2.0,7.8,0.25,0.2,2.6,0.083,1.7,5.2,0.333,1.5,1.7,0.875,3.0,3.7,6.7,1.1,2.0,0.9,1.1,3.9,5.6
Chaundee Brown Jr.,5,2,104,3.5,11.1,0.313,2.1,6.2,0.333,1.4,4.8,0.286,1.7,2.1,0.833,0.3,5.2,5.5,1.4,0.7,0.0,0.3,2.4,10.7
Greg Brown III,25,0,173,6.7,14.6,0.457,0.8,4.0,0.211,5.8,10.6,0.549,3.5,5.8,0.607,3.3,5.8,9.2,1.2,1.2,1.5,1.9,4.4,17.7
Jaylen Brown,42,42,1435,9.2,19.9,0.461,2.8,8.1,0.349,6.4,11.9,0.537,4.0,5.1,0.783,0.9,6.0,6.9,3.4,1.1,0.4,3.1,2.7,25.2
Moses Brown,26,1,169,5.8,10.7,0.54,0.0,0.0,,5.8,10.7,0.54,5.8,9.2,0.628,3.4,9.6,13.0,0.2,0.6,1.9,3.0,6.0,17.3
Sterling Brown,36,3,513,3.6,9.0,0.398,1.9,5.5,0.342,1.7,3.4,0.49,0.7,0.8,0.909,1.5,7.3,8.8,2.0,0.8,0.4,1.5,3.0,9.8
Troy Brown Jr.,44,5,782,3.7,8.7,0.431,1.5,4.2,0.352,2.3,4.5,0.505,0.9,1.2,0.76,1.3,5.2,6.6,2.4,1.2,0.2,0.9,2.3,9.8
Jalen Brunson,54,36,1708,7.4,14.5,0.507,1.2,3.4,0.354,6.2,11.1,0.554,2.3,2.9,0.81,0.6,3.7,4.3,6.2,1.0,0.1,2.0,2.1,18.3
Thomas Bryant,11,4,177,5.7,12.6,0.452,1.4,4.3,0.333,4.3,8.3,0.512,2.6,3.5,0.765,2.2,5.3,7.5,1.2,0.6,1.0,1.6,3.9,15.5
Shaq Buchanan,2,0,10,3.6,14.4,0.25,0.0,7.2,0.0,3.6,7.2,0.5,0.0,0.0,,3.6,3.6,7.2,7.2,3.6,0.0,7.2,3.6,7.2
Reggie Bullock,47,16,1164,4.0,9.8,0.411,2.7,7.4,0.358,1.4,2.4,0.579,0.8,1.0,0.844,0.6,4.4,5.0,1.5,0.8,0.2,0.8,1.9,11.5
Trey Burke,30,0,334,7.5,17.8,0.424,2.5,7.1,0.348,5.1,10.7,0.475,1.7,1.8,0.941,0.3,2.7,3.0,4.9,1.1,0.0,2.3,3.2,19.3
Alec Burks,54,21,1445,4.5,11.7,0.382,2.4,6.1,0.388,2.1,5.6,0.377,3.6,4.3,0.832,0.8,5.0,5.8,3.4,1.5,0.4,1.3,3.2,14.9
Jared Butler,26,1,206,6.1,15.0,0.407,2.8,7.9,0.356,3.3,7.2,0.463,1.2,2.1,0.583,0.5,3.3,3.8,5.1,1.4,1.2,3.8,4.7,16.3
Jimmy Butler,36,36,1215,7.7,15.7,0.491,0.4,2.0,0.212,7.3,13.7,0.531,7.4,8.3,0.89,2.0,4.6,6.6,6.6,1.9,0.5,2.2,1.5,23.2
Devontae Cacok,8,0,67,8.6,12.4,0.696,0.0,0.0,,8.6,12.4,0.696,2.1,3.8,0.571,2.7,11.8,14.5,1.1,2.1,3.8,0.5,4.3,19.3
Kentavious Caldwell-Pope,50,50,1461,5.0,12.3,0.404,2.4,6.4,0.368,2.6,5.9,0.444,1.6,1.7,0.887,0.6,3.6,4.2,2.1,1.3,0.5,1.5,2.1,13.9
Facundo Campazzo,51,4,1024,3.4,9.0,0.38,1.8,5.7,0.313,1.6,3.2,0.5,1.9,2.3,0.803,0.6,2.7,3.3,6.7,1.9,0.7,2.1,3.6,10.5
Vlatko Čančar,14,1,152,5.2,9.2,0.564,1.7,2.8,0.583,3.6,6.4,0.556,2.1,2.8,0.75,1.4,4.0,5.4,3.1,0.5,0.7,1.9,3.1,14.2
Clint Capela,46,45,1295,6.3,10.8,0.58,0.0,0.0,0.0,6.3,10.8,0.581,1.4,3.1,0.455,4.9,10.6,15.5,1.8,1.0,1.7,0.7,2.9,13.9
Vernon Carey Jr.,4,1,17,6.4,12.7,0.5,0.0,0.0,,6.4,12.7,0.5,4.2,6.4,0.667,6.4,4.2,10.6,0.0,2.1,0.0,2.1,2.1,16.9
Jevon Carter,41,1,484,3.6,10.9,0.327,2.7,7.9,0.34,0.9,3.0,0.293,0.4,0.6,0.75,0.5,3.7,4.2,3.0,1.0,0.7,1.4,3.0,10.3
Wendell Carter Jr.,47,46,1376,6.4,12.6,0.504,1.4,4.4,0.329,4.9,8.2,0.597,2.7,3.8,0.715,2.5,10.0,12.5,3.3,0.8,0.9,2.1,3.3,16.8
Alex Caruso,28,9,775,3.6,8.5,0.429,1.4,4.0,0.345,2.2,4.4,0.505,2.2,2.7,0.814,1.2,3.9,5.0,5.1,2.5,0.5,1.9,3.2,10.9
Willie Cauley-Stein,18,2,177,3.3,7.1,0.457,0.2,0.4,0.5,3.1,6.7,0.455,0.2,0.4,0.5,2.6,5.1,7.7,1.8,1.2,0.6,1.4,3.5,6.9
Ahmad Caver,1,0,1,36.0,36.0,1.0,0.0,0.0,,36.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
Justin Champagnie,30,0,252,4.1,8.6,0.483,1.3,3.1,0.409,2.9,5.4,0.526,1.3,1.3,1.0,5.3,3.9,9.1,1.3,1.0,0.6,1.0,4.6,10.9
Zylan Cheatham,1,0,5,0.0,21.6,0.0,0.0,14.4,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Chiozza,26,1,279,2.5,8.4,0.292,2.1,5.5,0.372,0.4,2.8,0.136,0.1,0.1,1.0,1.0,2.8,3.9,6.1,1.2,0.0,2.8,3.1,7.1
Marquese Chriss,22,0,251,6.9,14.1,0.49,1.0,2.9,0.35,5.9,11.2,0.526,1.7,2.7,0.632,2.9,8.3,11.2,1.7,1.6,1.4,2.4,7.0,16.5
Josh Christopher,46,2,765,6.2,13.2,0.47,1.7,5.0,0.336,4.5,8.2,0.552,2.3,3.0,0.766,1.5,2.9,4.4,3.8,1.8,0.3,3.2,2.4,16.4
Gary Clark,22,1,241,3.0,8.2,0.364,2.5,6.7,0.378,0.4,1.5,0.3,0.6,0.9,0.667,2.1,5.8,7.9,1.2,1.0,0.9,0.7,2.1,9.1
Brandon Clarke,41,1,766,8.4,12.8,0.654,0.2,0.8,0.222,8.2,11.9,0.685,2.5,3.6,0.711,3.7,6.3,10.1,2.7,0.9,2.1,0.9,3.2,19.5
Jordan Clarkson,52,1,1381,7.6,19.0,0.401,3.5,10.9,0.321,4.1,8.1,0.508,2.2,2.7,0.819,1.1,3.6,4.6,3.2,0.9,0.3,2.2,2.6,21.0
Nic Claxton,25,18,530,6.7,10.5,0.639,0.0,0.0,,6.7,10.5,0.639,2.0,3.6,0.566,3.7,5.8,9.5,1.4,0.8,1.9,1.2,3.8,15.5
Amir Coffey,43,20,949,4.6,9.9,0.464,2.4,5.9,0.397,2.2,4.0,0.562,2.4,2.7,0.887,0.8,4.2,5.0,2.6,0.8,0.4,0.8,2.1,13.9
John Collins,49,49,1543,7.5,13.9,0.541,1.4,3.7,0.395,6.1,10.3,0.593,3.0,3.7,0.794,2.1,7.1,9.2,2.2,0.7,1.3,1.3,3.5,19.5
Zach Collins,2,0,31,7.0,15.1,0.462,1.2,2.3,0.5,5.8,12.8,0.455,2.3,4.6,0.5,8.1,8.1,16.3,7.0,3.5,0.0,4.6,7.0,17.4
Darren Collison,3,0,37,1.9,6.8,0.286,0.0,2.9,0.0,1.9,3.9,0.5,0.0,0.0,,0.0,3.9,3.9,1.9,1.0,0.0,1.0,4.9,3.9
Mike Conley,49,49,1395,6.3,14.0,0.449,3.1,7.4,0.425,3.1,6.6,0.477,2.5,3.0,0.835,0.8,3.1,3.9,6.6,1.5,0.4,2.1,2.3,18.1
Pat Connaughton,53,18,1441,4.8,10.2,0.473,3.1,7.5,0.413,1.7,2.7,0.639,0.7,0.9,0.811,0.9,4.9,5.8,1.6,1.2,0.3,0.8,1.8,13.5
Tyler Cook,18,2,192,4.1,6.8,0.611,0.0,0.0,,4.1,6.8,0.611,3.7,5.8,0.645,3.0,6.6,9.6,0.6,0.7,0.7,1.3,4.5,12.0
Sharife Cooper,10,0,35,3.1,14.4,0.214,1.0,6.2,0.167,2.1,8.2,0.25,0.0,0.0,,0.0,5.1,5.1,5.1,0.0,0.0,5.1,1.0,7.2
Petr Cornelie,13,0,38,4.7,14.2,0.333,0.9,7.6,0.125,3.8,6.6,0.571,2.8,3.8,0.75,6.6,6.6,13.3,2.8,0.9,0.9,3.8,6.6,13.3
DeMarcus Cousins,22,5,353,6.5,15.6,0.418,1.6,6.2,0.262,4.9,9.4,0.522,4.1,5.3,0.769,3.5,10.1,13.6,2.3,2.0,0.9,3.0,6.2,18.8
Robert Covington,50,40,1483,3.3,8.6,0.385,2.0,5.8,0.346,1.3,2.7,0.469,0.9,1.1,0.822,1.1,5.8,6.9,1.7,1.8,1.6,1.5,3.3,9.5
Torrey Craig,51,14,1034,4.5,9.8,0.456,1.6,4.8,0.333,2.9,5.0,0.573,0.9,1.2,0.771,2.1,4.7,6.8,2.0,0.8,0.7,1.4,3.3,11.5
Jae Crowder,44,44,1244,3.9,9.9,0.397,2.3,6.7,0.343,1.6,3.3,0.504,1.2,1.4,0.816,0.5,6.1,6.7,1.9,1.6,0.6,1.1,3.1,11.3
Jarrett Culver,25,0,233,5.7,13.8,0.416,1.4,4.6,0.3,4.3,9.1,0.475,1.7,3.2,0.524,1.2,4.5,5.7,3.9,2.2,0.5,1.7,4.0,14.5
Jarron Cumberland,3,0,12,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,,3.0,6.0,9.0,3.0,0.0,0.0,0.0,6.0,6.0
Cade Cunningham,41,41,1314,6.7,16.9,0.397,2.3,7.0,0.328,4.4,9.9,0.446,2.0,2.4,0.86,1.0,5.1,6.1,5.9,1.5,0.8,3.9,3.3,17.8
Seth Curry,45,45,1566,5.9,12.1,0.485,2.3,5.7,0.4,3.6,6.4,0.561,1.5,1.7,0.877,0.4,3.1,3.5,4.2,0.8,0.3,1.9,2.3,15.5
Stephen Curry,50,50,1732,8.6,20.3,0.422,4.9,12.9,0.381,3.7,7.5,0.492,4.4,4.9,0.911,0.6,5.1,5.7,6.6,1.5,0.4,3.4,2.1,26.5
Anthony Davis,35,35,1245,9.5,17.7,0.537,0.3,1.9,0.172,9.2,15.9,0.579,4.4,6.2,0.712,2.9,7.2,10.1,2.9,1.3,2.3,2.2,2.6,23.8
Ed Davis,18,3,139,2.3,3.6,0.643,0.0,0.0,,2.3,3.6,0.643,0.8,2.1,0.375,1.8,9.3,11.1,0.8,0.8,1.8,1.3,6.7,5.4
Terence Davis,30,11,536,7.6,17.9,0.423,3.3,10.0,0.329,4.3,7.9,0.542,2.4,3.0,0.818,0.7,5.6,6.3,2.7,1.7,0.7,2.2,4.7,20.9
Gabriel Deck,7,0,56,5.1,9.0,0.571,1.3,2.6,0.5,3.9,6.4,0.6,0.0,0.0,,0.6,3.2,3.9,3.2,0.6,0.0,1.3,1.3,11.6
Dewayne Dedmon,48,15,792,5.6,9.7,0.582,0.7,1.3,0.536,5.0,8.4,0.589,2.3,2.9,0.781,4.0,9.5,13.5,1.7,0.9,1.1,2.4,5.2,14.2
Sam Dekker,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javin DeLaurier,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0
DeMar DeRozan,51,51,1807,10.1,19.9,0.51,0.7,1.9,0.344,9.5,18.0,0.527,6.9,8.0,0.859,0.9,4.4,5.3,5.2,0.9,0.3,2.4,2.3,27.8
Mamadi Diakite,13,3,188,4.8,9.0,0.532,0.0,1.0,0.0,4.8,8.0,0.595,1.1,2.1,0.545,3.3,8.0,11.3,0.4,1.0,1.7,1.3,6.3,10.7
Cheick Diallo,3,0,31,3.5,9.3,0.375,0.0,0.0,,3.5,9.3,0.375,5.8,7.0,0.833,4.6,9.3,13.9,0.0,1.2,0.0,1.2,7.0,12.8
Hamidou Diallo,47,28,1055,7.2,14.6,0.496,0.6,2.6,0.25,6.6,12.0,0.55,2.5,3.7,0.667,2.0,5.6,7.6,1.9,1.9,0.5,1.6,4.2,17.6
Gorgui Dieng,35,3,323,4.8,10.1,0.473,2.3,5.6,0.42,2.5,4.6,0.537,1.9,2.6,0.739,3.5,8.7,12.1,3.1,1.0,1.3,2.1,5.0,13.8
Spencer Dinwiddie,44,44,1330,5.0,13.3,0.376,1.9,6.1,0.31,3.1,7.2,0.432,3.1,3.9,0.811,1.0,4.6,5.6,6.9,0.7,0.2,2.0,2.9,15.0
Donte DiVincenzo,17,0,341,4.1,12.5,0.331,2.2,7.8,0.284,1.9,4.6,0.409,2.4,2.9,0.852,1.9,4.4,6.3,3.1,1.2,0.3,3.0,2.7,12.9
Luka Dončić,40,40,1403,9.6,21.6,0.445,2.6,8.1,0.316,7.0,13.4,0.523,5.1,6.9,0.736,0.9,8.2,9.1,9.4,1.3,0.5,4.4,2.4,26.8
Luguentz Dort,49,49,1601,6.3,15.5,0.404,2.8,8.4,0.332,3.5,7.1,0.491,3.4,3.9,0.851,0.9,3.8,4.6,1.9,1.0,0.4,1.9,3.2,18.7
Ayo Dosunmu,50,16,1237,4.5,8.7,0.517,1.3,3.2,0.409,3.2,5.5,0.58,1.1,1.6,0.661,0.5,3.3,3.8,4.0,0.9,0.5,1.7,3.1,11.4
Damyean Dotson,2,0,21,3.4,6.9,0.5,0.0,1.7,0.0,3.4,5.1,0.667,0.0,0.0,,0.0,3.4,3.4,1.7,0.0,0.0,0.0,0.0,6.9
Devon Dotson,11,0,85,4.7,9.7,0.478,0.8,3.8,0.222,3.8,5.9,0.643,2.1,3.8,0.556,0.4,3.4,3.8,6.4,0.4,0.0,2.1,4.7,12.3
Sekou Doumbouya,2,0,16,11.3,18.0,0.625,2.3,4.5,0.5,9.0,13.5,0.667,6.8,9.0,0.75,4.5,9.0,13.5,0.0,6.8,4.5,4.5,2.3,31.5
Jeff Dowtin,5,0,31,3.5,8.1,0.429,0.0,2.3,0.0,3.5,5.8,0.6,0.0,0.0,,1.2,7.0,8.1,3.5,0.0,1.2,1.2,2.3,7.0
PJ Dozier,18,0,340,3.8,10.5,0.364,1.6,5.1,0.313,2.2,5.4,0.412,1.1,1.4,0.769,1.5,5.2,6.7,3.1,1.2,0.6,1.4,3.5,10.3
Goran Dragić,5,2,90,5.2,13.6,0.382,1.6,5.6,0.286,3.6,8.0,0.45,4.0,4.0,1.0,0.8,4.8,5.6,3.6,2.0,0.4,0.4,3.2,16.0
Andre Drummond,49,12,902,5.1,9.5,0.538,0.0,0.1,0.0,5.1,9.4,0.542,1.7,3.3,0.512,5.4,11.9,17.3,3.9,2.2,1.8,3.2,4.8,11.9
Chris Duarte,48,36,1392,6.3,14.5,0.435,2.1,6.0,0.359,4.2,8.5,0.488,2.1,2.6,0.792,0.9,4.3,5.2,2.8,1.3,0.3,2.0,2.1,16.8
David Duke Jr.,15,7,273,4.5,12.0,0.374,1.1,4.1,0.258,3.4,7.9,0.433,2.1,2.5,0.842,3.7,4.2,7.9,2.0,1.5,0.8,1.1,3.8,12.1
Kevin Durant,36,36,1313,10.4,20.0,0.52,1.8,4.9,0.372,8.6,15.1,0.568,6.3,7.0,0.894,0.5,6.8,7.3,5.7,0.8,0.9,2.9,1.9,28.9
Jaime Echenique,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Edwards,49,49,1708,8.2,18.7,0.436,3.2,9.0,0.357,5.0,9.7,0.509,3.2,3.9,0.806,0.9,4.0,5.0,3.7,1.6,0.7,2.9,2.4,22.7
Kessler Edwards,23,16,588,4.0,9.4,0.425,1.7,4.6,0.373,2.3,4.8,0.474,0.4,0.5,0.75,1.7,4.5,6.2,1.0,1.2,0.9,1.6,2.8,10.0
Rob Edwards,2,0,11,3.3,13.1,0.25,3.3,13.1,0.25,0.0,0.0,,0.0,0.0,,0.0,9.8,9.8,0.0,0.0,0.0,3.3,0.0,9.8
CJ Elleby,32,4,441,4.2,10.1,0.411,1.3,4.2,0.308,2.9,5.9,0.486,1.4,1.6,0.85,2.2,5.1,7.3,2.8,1.4,0.4,1.2,3.8,11.0
Wayne Ellington,34,9,657,4.0,10.0,0.399,3.6,9.1,0.392,0.4,0.9,0.471,0.2,0.3,0.8,0.5,2.7,3.2,1.3,1.0,0.1,0.8,1.9,11.8
Joel Embiid,42,42,1384,10.5,21.1,0.498,1.4,3.9,0.358,9.1,17.1,0.53,9.8,12.0,0.812,2.2,9.7,11.9,4.7,1.1,1.6,3.1,2.8,32.1
James Ennis III,7,0,56,7.1,15.4,0.458,1.9,5.1,0.375,5.1,10.3,0.5,2.6,3.2,0.8,3.2,4.5,7.7,1.9,1.3,1.3,1.3,3.2,18.6
Drew Eubanks,49,9,595,5.1,9.6,0.528,0.1,0.5,0.125,5.0,9.1,0.55,3.6,4.8,0.747,3.9,8.0,11.9,3.0,0.8,1.8,2.8,3.7,13.8
Tacko Fall,11,1,59,3.1,7.3,0.417,0.0,0.0,,3.1,7.3,0.417,1.2,4.3,0.286,4.3,9.8,14.0,1.2,0.0,3.7,1.8,1.8,7.3
Derrick Favors,35,16,575,4.9,9.8,0.497,0.1,0.8,0.154,4.8,9.0,0.528,0.9,1.4,0.636,3.2,7.1,10.3,1.5,0.9,0.5,0.4,3.4,10.8
Bruno Fernando,20,0,58,4.3,8.7,0.5,0.6,0.6,1.0,3.7,8.1,0.462,2.5,3.1,0.8,4.3,5.0,9.3,2.5,0.0,1.9,3.1,3.7,11.8
Dorian Finney-Smith,54,54,1753,4.1,9.4,0.435,2.1,5.7,0.363,2.0,3.7,0.544,0.9,1.3,0.688,1.8,3.6,5.4,2.2,1.3,0.6,1.2,2.5,11.2
Malik Fitts,7,0,35,2.1,9.3,0.222,2.1,4.1,0.5,0.0,5.1,0.0,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,0.0,2.1,3.1,6.2
Malachi Flynn,31,1,268,4.7,12.9,0.365,1.9,6.7,0.28,2.8,6.2,0.457,0.8,1.2,0.667,0.8,3.4,4.2,4.0,1.5,0.4,1.2,3.6,12.1
Bryn Forbes,51,1,901,6.8,15.9,0.425,3.3,8.0,0.41,3.5,7.9,0.439,2.1,2.3,0.897,0.2,2.8,3.0,2.2,0.7,0.1,1.6,2.6,18.9
Aleem Ford,5,0,74,2.9,9.7,0.3,1.0,7.3,0.133,1.9,2.4,0.8,0.0,0.0,,1.0,6.3,7.3,1.0,0.5,0.0,1.9,3.4,6.8
Trent Forrest,43,4,514,3.7,6.7,0.552,0.2,1.1,0.2,3.5,5.7,0.617,1.8,2.2,0.781,1.1,4.1,5.1,4.3,1.4,0.2,2.4,2.2,9.4
Evan Fournier,53,53,1538,6.4,14.9,0.429,3.6,9.0,0.402,2.8,6.0,0.471,1.2,1.7,0.716,0.7,3.0,3.7,2.2,1.2,0.3,1.7,2.6,17.7
De'Aaron Fox,45,45,1540,8.4,18.2,0.46,1.1,3.9,0.269,7.3,14.3,0.512,4.6,6.1,0.749,0.5,3.6,4.1,5.4,1.2,0.4,2.9,3.0,22.4
Tim Frazier,10,3,200,2.3,7.7,0.302,1.1,3.1,0.353,1.3,4.7,0.269,0.9,1.6,0.556,0.9,2.5,3.4,5.9,0.5,0.2,2.3,4.3,6.7
Enes Freedom,35,1,411,4.5,8.5,0.526,0.2,0.4,0.4,4.3,8.1,0.533,2.1,2.5,0.857,5.3,8.7,14.0,0.7,0.4,1.2,1.8,3.7,11.2
Wenyen Gabriel,7,0,47,3.8,10.0,0.385,1.5,3.8,0.4,2.3,6.1,0.375,1.5,3.1,0.5,3.8,7.7,11.5,1.5,0.8,1.5,2.3,8.4,10.7
Daniel Gafford,48,46,988,6.6,9.7,0.678,0.0,0.0,,6.6,9.7,0.678,2.4,3.1,0.756,3.9,6.6,10.5,1.7,0.7,2.7,1.6,4.1,15.6
Danilo Gallinari,43,1,997,5.0,11.9,0.421,2.4,6.2,0.387,2.6,5.7,0.459,3.4,3.8,0.913,0.8,6.1,6.9,2.2,0.7,0.3,0.9,2.3,15.9
Langston Galloway,7,0,107,2.0,8.7,0.231,0.7,5.4,0.125,1.3,3.4,0.4,0.0,0.0,,1.0,5.0,6.1,4.0,0.3,0.0,2.0,2.4,4.7
Darius Garland,45,45,1556,7.9,16.7,0.474,2.6,7.0,0.375,5.3,9.6,0.547,2.3,2.5,0.907,0.5,2.9,3.5,8.4,1.3,0.1,3.8,1.8,20.7
Marcus Garrett,12,0,128,1.4,5.9,0.238,0.3,1.1,0.25,1.1,4.8,0.235,0.6,1.4,0.4,2.5,3.9,6.5,2.0,1.4,0.8,0.6,4.5,3.7
Usman Garuba,15,0,105,2.7,8.2,0.333,0.7,4.5,0.154,2.1,3.8,0.545,0.3,0.7,0.5,3.1,8.6,11.7,2.7,2.4,2.1,1.0,3.1,6.5
Luka Garza,27,5,327,5.6,12.9,0.436,1.4,4.4,0.325,4.2,8.5,0.494,3.0,4.6,0.643,5.2,4.0,9.1,1.7,0.9,0.4,1.8,5.1,15.6
Rudy Gay,35,1,699,5.5,13.2,0.418,2.5,7.4,0.34,3.0,5.8,0.518,2.5,3.2,0.79,1.8,6.5,8.3,2.0,1.0,0.6,1.5,3.4,16.1
Paul George,26,26,924,9.1,21.7,0.421,2.7,8.5,0.323,6.4,13.2,0.484,4.0,4.6,0.88,0.4,6.8,7.2,5.5,2.1,0.4,4.2,2.5,25.0
Taj Gibson,35,4,627,2.8,5.5,0.516,0.3,1.0,0.333,2.5,4.4,0.558,1.3,1.8,0.742,3.0,5.5,8.6,1.3,0.9,1.6,1.3,5.5,7.3
Josh Giddey,49,49,1535,5.8,14.0,0.416,1.2,4.6,0.253,4.7,9.4,0.498,1.1,1.5,0.697,2.0,6.7,8.7,7.1,1.1,0.4,3.5,1.9,13.9
Shai Gilgeous-Alexander,43,43,1487,8.1,19.1,0.424,1.6,5.8,0.278,6.5,13.2,0.488,5.8,7.2,0.811,0.7,4.2,4.9,5.7,1.2,0.8,2.5,2.4,23.6
Anthony Gill,21,0,121,5.4,8.0,0.667,1.5,2.1,0.714,3.9,6.0,0.65,3.6,4.2,0.857,2.4,5.1,7.4,2.4,0.3,0.9,1.5,5.7,15.8
Freddie Gillespie,9,2,119,2.7,6.7,0.409,0.0,0.3,0.0,2.7,6.4,0.429,0.9,2.1,0.429,3.9,7.0,10.9,1.5,0.9,2.7,1.5,5.4,6.4
Rudy Gobert,42,42,1364,6.3,8.8,0.707,0.0,0.1,0.0,6.3,8.8,0.712,5.2,7.5,0.69,4.1,12.6,16.7,1.3,0.9,2.5,2.0,3.0,17.7
Brandon Goodwin,15,3,251,4.7,12.2,0.388,1.7,4.6,0.375,3.0,7.6,0.396,1.0,2.0,0.5,1.0,4.3,5.3,7.0,2.3,0.0,2.4,3.2,12.2
Jordan Goodwin,2,0,6,0.0,18.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
Aaron Gordon,49,49,1555,6.4,12.3,0.52,1.3,4.0,0.337,5.1,8.4,0.607,2.5,3.4,0.733,1.9,4.5,6.5,2.9,0.7,0.6,2.0,2.1,16.6
