Name,adj_name,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27
Marcus Smart,Marcus Smart,14339285,17207142,18583713,19960285,0,0
Patrick Beverley,Patrick Beverley,14320987,0,0,0,0,0
Thaddeus Young,Thaddeus Young,14190000,0,0,0,0,0
Jonas Valanciunas,Jonas Valanciunas,14000000,14700000,15435000,0,0,0
Doug McDermott,Doug McDermott,13750000,13750000,13750000,0,0,0
Christian Wood,Christian Wood,13666667,14317459,0,0,0,0
Derrick Rose,Derrick Rose,13445120,14520730,15596339,0,0,0
Brook Lopez,Brook Lopez,13302325,13906976,0,0,0,0
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,13038862,14004703,0,0,0,0
Joe Ingles,Joe Ingles,13036364,0,0,0,0,0
Kyle Kuzma,Kyle Kuzma,13000000,13000000,13000000,0,0,0
Taurean Prince,Taurean Prince,13000000,0,0,0,0,0
Robert Covington,Robert Covington,12975471,0,0,0,0,0
TJ Warren,TJ Warren,12940000,0,0,0,0,0
Luke Kennard,Luke Kennard,12727273,13745455,14763636,14763636,0,0
Deandre Ayton,Deandre Ayton,12632950,16422835,0,0,0,0
Terrence Ross,Terrence Ross,12500000,11500000,0,0,0,0
Jordan Clarkson,Jordan Clarkson,12420000,13340000,14260000,0,0,0
Dillon Brooks,Dillon Brooks,12200000,11400000,0,0,0,0
Kelly Olynyk,Kelly Olynyk,12195122,12804878,12195122,0,0,0
Nicolas Batum,Nicolas Batum,12026998,12185499,0,0,0,0
Josh Hart,Josh Hart,12000000,12960000,12960000,0,0,0
Kelly Oubre,Kelly Oubre Jr,12000000,12600000,0,0,0,0
Jusuf Nurkic,Jusuf Nurkic,12000000,0,0,0,0,0
Josh Richardson,Josh Richardson,11615328,12196094,0,0,0,0
Marvin Bagley,Marvin Bagley III,11312114,14762308,0,0,0,0
Dwight Powell,Dwight Powell,11080125,11080125,0,0,0,0
Devonte Graham,Devonte Graham,11000000,11550000,12100000,12650000,0,0
Zion Williamson,Zion Williamson,10733400,13534817,17595262,0,0,0
Larry Nance Jr,Larry Nance Jr,10690909,9672727,0,0,0,0
DeAndre Jordan,DeAndre Jordan,10517224,7827907,0,0,0,0
Jeremy Lamb,Jeremy Lamb,10500000,0,0,0,0,0
Reggie Jackson,Reggie Jackson,10384500,11215260,0,0,0,0
Richaun Holmes,Richaun Holmes,10384500,11215260,12046020,12876780,0,0
Al-Farouq Aminu,Al-Farouq Aminu,10335621,0,0,0,0,0
Anthony Edwards,Anthony Edwards,10245480,10733400,13534817,17595263,0,0
Luka Doncic,Luka Doncic,10174391,35700000,38556000,41412000,0,0
Cade Cunningham,Cade Cunningham,10050120,10552800,11055360,13940809,0,0
Danny Green,Danny Green,10000000,10000000,0,0,0,0
Tomas Satoransky,Tomas Satoransky,10000000,0,0,0,0,0
Kyle Anderson,Kyle Anderson,9937150,0,0,0,0,0
Derrick Favors,Derrick Favors,9720900,10183800,0,0,0,0
Jae Crowder,Jae Crowder,9720900,10183800,0,0,0,0
Derrick Jones,Derrick Jones Jr,9720900,0,0,0,0,0
Serge Ibaka,Serge Ibaka,9720900,0,0,0,0,0
Tristan Thompson,Tristan Thompson,9720900,0,0,0,0,0
Montrezl Harrell,Montrezl Harrell,9720900,0,0,0,0,0
Ja Morant,Ja Morant,9603360,12119440,15815869,0,0,0
Reggie Bullock,Reggie Bullock,9536000,10012800,10489600,0,0,0
Alec Burks,Alec Burks,9536000,10012800,10489600,0,0,0
Talen Horton-Tucker,Talen Horton-Tucker,9500000,10260000,11020000,0,0,0
Mason Plumlee,Mason Plumlee,9248333,9080417,0,0,0,0
Jaren Jackson Jr,Jaren Jackson Jr,9180560,28946605,27102202,25257798,0,0
James Wiseman,James Wiseman,9166800,9603360,12119440,15815870,0,0
Jalen Green,Jalen Green,8992080,9441840,9891480,12483048,0,0
Maxi Kleber,Maxi Kleber,8825000,9075000,0,0,0,0
DeAnthony Melton,DeAnthony Melton,8805976,8250000,8000000,0,0,0
Nerlens Noel,Nerlens Noel,8800000,9240000,9680000,0,0,0
Royce ONeale,Royce ONeale,8800000,9200000,9500000,0,0,0
Jakob Poeltl,Jakob Poeltl,8750000,9398148,0,0,0,0
Thomas Bryant,Thomas Bryant,8666667,0,0,0,0,0
RJ Barrett,RJ Barrett,8623920,10900634,14301632,0,0,0
Alex Caruso,Alex Caruso,8600000,9030000,9460000,9890000,0,0
Delon Wright,Delon Wright,8526316,0,0,0,0,0
Dario Saric,Dario Saric,8510000,9240000,0,0,0,0
Monte Morris,Monte Morris,8449074,9125000,9800926,0,0,0
Tyus Jones,Tyus Jones,8376286,0,0,0,0,0
Trae Young,Trae Young,8326471,29750000,32130000,34510000,0,0
Daniel Theis,Daniel Theis,8280351,8694369,9108386,9522404,0,0
LaMelo Ball,LaMelo Ball,8231760,8623920,10900635,14301633,0,0
Seth Curry,Seth Curry,8207518,8496653,0,0,0,0
JaMychal Green,JaMychal Green,8200000,8200000,0,0,0,0
Cedi Osman,Cedi Osman,8133334,7426088,6718842,0,0,0
Evan Mobley,Evan Mobley,8075160,8478720,8882640,11227657,0,0
DeAndre Hunter,DeAndre Hunter,7775400,9835881,12973527,0,0,0
Mo Bamba,Mo Bamba,7568743,10096703,0,0,0,0
Ivica Zubac,Ivica Zubac,7518518,7518518,0,0,0,0
TJ McConnell,TJ McConnell,7500000,8100000,8700000,9300000,0,0
Rajon Rondo,Rajon Rondo,7500000,0,0,0,0,0
Patrick Williams,Patrick Williams,7422000,7775400,9835881,12973527,0,0
Cory Joseph,Cory Joseph,7310000,5155500,0,0,0,0
Scottie Barnes,Scottie Barnes,7280400,7644600,8008680,10130980,0,0
Darius Garland,Darius Garland,7040880,8920794,11828974,0,0,0
Chris Boucher,Chris Boucher,7020000,0,0,0,0,0
PJ Tucker,PJ Tucker,7000000,7350000,0,0,0,0
Zach Collins,Zach Collins,7000000,7350000,7700000,0,0,0
DJ Augustin,DJ Augustin,7000000,7333333,0,0,0,0
Wendell Carter,Wendell Carter Jr,6920027,14150000,13050000,11950000,0,0
Juan Hernangomez,Juancho Hernangomez,6907815,7419505,0,0,0,0
Isaac Okoro,Isaac Okoro,6720720,7040880,8920794,11828974,0,0
Jalen Suggs,Jalen Suggs,6592920,6922320,7252080,9188385,0,0
Cameron Payne,Cameron Payne,6500000,6000000,6500000,0,0,0
Joakim Noah,Joakim Noah,6431666,0,0,0,0,0
Jarrett Culver,Jarrett Culver,6395160,0,0,0,0,0
Khem Birch,Khem Birch,6350000,6667500,6985000,0,0,0
Collin Sexton,Collin Sexton,6349671,8559356,0,0,0,0
Onyeka Okongwu,Onyeka Okongwu,6104280,6395160,8109063,10817490,0,0
Justin Holiday,Justin Holiday,6006420,6292440,0,0,0,0
Josh Giddey,Josh Giddey,5988000,6287400,6587040,8352367,0,0
Patrick Mills,Patty Mills,5890000,6184500,0,0,0,0
Rudy Gay,Rudy Gay,5890000,6184500,6479000,0,0,0
Dennis Schroeder,Dennis Schroder,5890000,0,0,0,0,0
Kevin Knox,Kevin Knox II,5845978,7921300,0,0,0,0
Coby White,Coby White,5837760,7413955,9942113,0,0,0
Timofey Mozgov,Timofey Mozgov,5573333,0,0,0,0,0
Killian Hayes,Killian Hayes,5572680,5837760,7413955,9942114,0,0
Mikal Bridges,Mikal Bridges,5557725,20100000,21700000,23300000,0,0
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,5495532,29750000,32130000,34510000,0,0
Jonathan Kuminga,Jonathan Kuminga,5466360,5739840,6012840,7636307,0,0
Miles Bridges,Miles Bridges,5421493,7469530,0,0,0,0
Jaxson Hayes,Jaxson Hayes,5348280,6803012,9170460,0,0,0
Pat Connaughton,Pat Connaughton,5333334,5728393,0,0,0,0
George Hill,George Hill,5275491,4000000,0,0,0,0
Michael Porter,Michael Porter Jr,5258735,29750000,32130000,34510000,0,0
Dewayne Dedmon,Dewayne Dedmon,5256308,2866667,2866667,2866667,0,0
Ryan Anderson,Ryan Anderson,5214583,0,0,0,0,0
Hamidou Diallo,Hamidou Diallo,5200000,5200000,0,0,0,0
Kevon Looney,Kevon Looney,5178572,0,0,0,0,0
Troy Brown,Troy Brown Jr,5170564,7228448,0,0,0,0
Obi Toppin,Obi Toppin,5105160,5348280,6803012,9170460,0,0
Franz Wagner,Franz Wagner,5007840,5258280,5508720,7007092,0,0
Josh Jackson,Josh Jackson,5005350,0,0,0,0,0
Kris Dunn,Kris Dunn,5005350,0,0,0,0,0
Kendrick Nunn,Kendrick Nunn,5000000,5250000,0,0,0,0
Louis Williams,Lou Williams,5000000,0,0,0,0,0
Luol Deng,Luol Deng,5000000,0,0,0,0,0
Robin Lopez,Robin Lopez,5000000,0,0,0,0,0
JaVale McGee,JaVale McGee,5000000,0,0,0,0,0
Rui Hachimura,Rui Hachimura,4916160,6263188,8486619,0,0,0
Garrett Temple,Garrett Temple,4910000,5155500,5401000,0,0,0
Taj Gibson,Taj Gibson,4910000,5155500,0,0,0,0
Torrey Craig,Torrey Craig,4878049,5121951,0,0,0,0
Bruce Brown,Bruce Brown,4736102,0,0,0,0,0
Deni Avdija,Deni Avdija,4692840,4916160,6263188,8486619,0,0
Donte DiVincenzo,Donte DiVincenzo,4675830,6610599,0,0,0,0
Cam Reddish,Cam Reddish,4670160,5954454,8109966,0,0,0
David Nwaba,David Nwaba,4650000,5022000,5394000,0,0,0
Furkan Korkmaz,Furkan Korkmaz,4629630,5000000,5370370,0,0,0
Davion Mitchell,Davion Mitchell,4603200,4833600,5063640,6451077,0,0
Ishmael Smith,Ish Smith,4500000,4725000,0,0,0,0
Jeff Green,Jeff Green,4500000,4500000,0,0,0,0
Bryn Forbes,Bryn Forbes,4500000,0,0,0,0,0
Jalen Smith,Jalen Smith,4458000,0,0,0,0,0
Lonnie Walker,Lonnie Walker IV,4453617,6319683,0,0,0,0
Cameron Johnson,Cameron Johnson,4437000,5887899,8060533,0,0,0
Ziaire Williams,Ziaire Williams,4373040,4591680,4810200,6133005,0,0
Bobby Portis,Bobby Portis,4347600,4564980,0,0,0,0
Moe Harkless,Maurice Harkless,4347600,4564980,0,0,0,0
Danuel House,Danuel House Jr,4339828,0,0,0,0,0
Kevin Huerter,Kevin Huerter,4253357,14508929,15669643,16830357,0,0
Devin Vassell,Devin Vassell,4235160,4437000,5887899,8060534,0,0
Chandler Hutchison,Chandler Hutchison,4224186,0,0,0,0,0
PJ Washington,PJ Washington,4215120,5808435,7992407,0,0,0
James Bouknight,James Bouknight,4154400,4362240,4570080,6064496,0,0
Willie Cauley-Stein,Willie Cauley-Stein,4100000,0,0,0,0,0
Josh Okogie,Josh Okogie,4087904,5857966,0,0,0,0
Grayson Allen,Grayson Allen,4054695,9350000,9350000,0,0,0
Jarred Vanderbilt,Jarred Vanderbilt,4050000,4374000,4698000,0,0,0
Tyrese Haliburton,Tyrese Haliburton,4023600,4215120,5808435,7992406,0,0
Tyler Herro,Tyler Herro,4004280,5722116,7913686,0,0,0
Terence Davis,Terence Davis,4000000,4000000,0,0,0,0
Gorgui Dieng,Gorgui Dieng,4000000,0,0,0,0,0
Dorian Finney-Smith,Dorian Finney-Smith,4000000,0,0,0,0,0
Aaron Holiday,Aaron Holiday,3980551,5791701,0,0,0,0
Josh Primo,Joshua Primo,3946800,4144320,4341600,5982725,0,0
Jake Layman,Jake Layman,3940184,0,0,0,0,0
Anfernee Simons,Anfernee Simons,3938818,5758551,0,0,0,0
Sekou Doumbouya,Sekou Doumbouya,3908141,1576305,0,0,0,0
Justise Winslow,Justise Winslow,3902439,4097561,0,0,0,0
Kira Lewis,Kira Lewis Jr,3822240,4004280,5722116,7913686,0,0
Romeo Langford,Romeo Langford,3804360,5634257,7837251,0,0,0
Landry Shamet,Landry Shamet,3768342,9500000,10250000,11000000,0,0
Chris Duarte,Chris Duarte,3749400,3936960,4124400,5893768,0,0
Alex Len,Alex Len,3732000,3918600,0,0,0,0
Robert Williams,Robert Williams III,3661976,10714287,11571429,12428571,0,0
Jevon Carter,Jevon Carter,3650000,3925000,0,0,0,0
Aaron Nesmith,Aaron Nesmith,3631200,3804360,5634257,7837251,0,0
Moses Moody,Moses Moody,3562200,3740160,3918480,5803269,0,0
Boban Marjanovic,Boban Marjanovic,3500000,3500000,0,0,0,0
Mike Muscala,Mike Muscala,3500000,3500000,0,0,0,0
Cole Anthony,Cole Anthony,3449400,3613680,5539771,7744600,0,0
Luka Samanic,Luka Samanic,3421709,1576305,0,0,0,0
Corey Kispert,Corey Kispert,3383640,3552840,3722040,5705887,0,0
Georges Niang,Georges Niang,3300000,3465000,0,0,0,0
Michael Carter-Williams,Michael Carter-Williams,3300000,0,0,0,0,0
Isaiah Stewart,Isaiah Stewart,3277080,3433320,5266713,7399731,0,0
Chuma Okeke,Chuma Okeke,3277080,3433320,5266712,7399731,0,0
Nickeil Alexander-Walker,Nickeil Alexander-Walker,3261480,5009633,7073602,0,0,0
Alperen Sengun,Alperen Sengun,3214680,3375360,3536280,5424654,0,0
Facundo Campazzo,Facundo Campazzo,3200000,0,0,0,0,0
Jon Leuer,Jon Leuer,3169348,0,0,0,0,0
Trey Burke,Trey Burke,3150000,3300000,0,0,0,0
Aleksej Pokusevski,Aleksej Pokusevski,3113160,3261480,5009633,7073602,0,0
Goga Bitadze,Goga Bitadze,3098400,4765339,6762016,0,0,0
Trey Murphy,Trey Murphy III,3053760,3206520,3359280,5159854,0,0
Sterling Brown,Sterling Brown,3000000,3000000,0,0,0,0
Frank Jackson,Frank Jackson,3000000,3150000,0,0,0,0
Josh Green,Josh Green,2957520,3098400,4765339,6762016,0,0
Tre Mann,Tre Mann,2901240,3046200,3191400,4908373,0,0
Andrew Nicholson,Andrew Nicholson,2844429,2844429,0,0,0,0
Matisse Thybulle,Matisse Thybulle,2840160,4379526,6275861,0,0,0
Saddiq Bey,Saddiq Bey,2824320,2959080,4556983,6498258,0,0
Kai Jones,Kai Jones,2770560,2909040,3047880,4693735,0,0
Brandon Clarke,Brandon Clarke,2726880,4343919,6259588,0,0,0
Precious Achiuwa,Precious Achiuwa,2711280,2840160,4379526,6275861,0,0
Marc Gasol,Marc Gasol,2692991,0,0,0,0,0
Jalen Johnson,Jalen Johnson,2659680,2792640,2925360,4510905,0,0
Enes Kanter,Enes Freedom,2641691,0,0,0,0,0
LaMarcus Aldridge,LaMarcus Aldridge,2641691,0,0,0,0,0
James Johnson,James Johnson,2641691,0,0,0,0,0
Paul Millsap,Paul Millsap,2641691,0,0,0,0,0
Ed Davis,Ed Davis,2641691,0,0,0,0,0
Andre Iguodala,Andre Iguodala,2641691,0,0,0,0,0
Carmelo Anthony,Carmelo Anthony,2641691,0,0,0,0,0
Trevor Ariza,Trevor Ariza,2641691,0,0,0,0,0
Avery Bradley,Avery Bradley,2641691,0,0,0,0,0
Wayne Ellington,Wayne Ellington,2641691,0,0,0,0,0
Dwight Howard,Dwight Howard,2641691,0,0,0,0,0
Udonis Haslem,Udonis Haslem,2641691,0,0,0,0,0
Markieff Morris,Markieff Morris,2641691,0,0,0,0,0
ETwaun Moore,ETwaun Moore,2641691,0,0,0,0,0
Grant Williams,Grant Williams,2617800,4306281,6235494,0,0,0
Tyrese Maxey,Tyrese Maxey,2602920,2726880,4343920,6259588,0,0
Keon Johnson,Keon Johnson,2553240,2681040,2808720,4474291,0,0
Darius Bazley,Darius Bazley,2513040,4264628,6205035,0,0,0
Trey Lyles,Trey Lyles,2500000,2625000,0,0,0,0
Zeke Nnaji,Zeke Nnaji,2498760,2617800,4306281,6235495,0,0
Isaiah Jackson,Isaiah Jackson,2451240,2573760,2696280,4435380,0,0
Ty Jerome,Ty Jerome,2412840,4220057,6169723,0,0,0
Austin Rivers,Austin Rivers,2401537,0,0,0,0,0
Kent Bazemore,Kent Bazemore,2401537,0,0,0,0,0
Andre Drummond,Andre Drummond,2401537,0,0,0,0,0
Hassan Whiteside,Hassan Whiteside,2401537,0,0,0,0,0
Otto Porter,Otto Porter Jr,2389641,0,0,0,0,0
Victor Oladipo,Victor Oladipo,2389641,0,0,0,0,0
Solomon Hill,Solomon Hill,2389641,0,0,0,0,0
Ben McLemore,Ben McLemore,2389641,0,0,0,0,0
Tony Snell,Tony Snell,2389641,0,0,0,0,0
Cody Zeller,Cody Zeller,2389641,0,0,0,0,0
Usman Garuba,Usman Garuba,2353320,2471160,2588400,4392515,0,0
Leandro Bolmaro,Leandro Bolmaro,2353320,2471160,2588400,4392515,0,0
Willy Hernangomez,Willy Hernangomez,2327220,2443581,2559942,0,0,0
Edmond Sumner,Edmond Sumner,2320000,0,0,0,0,0
Nassir Little,Nassir Little,2316240,4171548,6128004,0,0,0
RJ Hampton,RJ Hampton,2303040,2412840,4220057,6169723,0,0
Josh Christopher,Josh Christopher,2259240,2372160,2485200,4346615,0,0
Monta Ellis,Monta Ellis,2245400,0,0,0,0,0
Rodney Hood,Rodney Hood,2239544,0,0,0,0,0
Elfrid Payton,Elfrid Payton,2239544,0,0,0,0,0
Dylan Windler,Dylan Windler,2239200,4037277,5959021,0,0,0
Immanuel Quickley,Immanuel Quickley,2210640,2316240,4171548,6128004,0,0
John Konchar,John Konchar,2200000,2300000,2400000,0,0,0
Quentin Grimes,Quentin Grimes,2168640,2277000,2385720,4296682,0,0
Jordan Poole,Jordan Poole,2161440,3901399,5813084,0,0,0
Bol Bol,Bol Bol,2161152,0,0,0,0,0
Keldon Johnson,Keldon Johnson,2145720,3873024,5809536,0,0,0
Payton Pritchard,Payton Pritchard,2137440,2239200,4037277,5959021,0,0
Jahlil Okafor,Jahlil Okafor,2130023,0,0,0,0,0
Bones Hyland,Bones Hyland,2096880,2201520,2306400,4158439,0,0
Nemanja Bjelica,Nemanja Bjelica,2089448,0,0,0,0,0
Frank Kaminsky,Frank Kaminsky,2089448,0,0,0,0,0
Raul Neto,Raul Neto,2089448,0,0,0,0,0
Udoka Azubuike,Udoka Azubuike,2075880,2174880,3923483,5818526,0,0
Jaden McDaniels,Jaden McDaniels,2063280,2161440,3901399,5813084,0,0
Malachi Flynn,Malachi Flynn,2048040,2145720,3873024,5809537,0,0
Cam Thomas,Cam Thomas,2036280,2138160,2240160,4041249,0,0
Desmond Bane,Desmond Bane,2033160,2130240,3845083,5767625,0,0
Jaden Springer,Jaden Springer,2023680,2125200,2226240,4018363,0,0
DayRon Sharpe,DayRon Sharpe,2009160,2109480,2210040,3989122,0,0
Jordan McLaughlin,Jordan McLaughlin,2000000,2160000,2320000,0,0,0
Jeremiah Robinson-Earl,Jeremiah Robinson-Earl,2000000,2000000,1900000,1988598,0,0
Kenrich Williams,Kenrich Williams,2000000,2000000,0,0,0,0
Theo Maledon,Theo Maledon,2000000,1900000,1930681,0,0,0
Abdel Nader,Abdel Nader,2000000,2160000,0,0,0,0
Santiago Aldama,Santi Aldama,1994520,2094120,2194200,3960531,0,0
Damian Jones,Damian Jones,1977011,0,0,0,0,0
Wesley Matthews,Wesley Matthews,1958495,0,0,0,0,0
Timothe Luwawu,Timothe Luwawu-Cabarrot,1939350,0,0,0,0,0
Rodney McGruder,Rodney McGruder,1939350,0,0,0,0,0
Wesley Iwundu,Wesley Iwundu,1926834,0,0,0,0,0
PJ Dozier,PJ Dozier,1910860,0,0,0,0,0
Damion Lee,Damion Lee,1910860,0,0,0,0,0
Tyrell Terry,Tyrell Terry,1869438,1782621,0,0,0,0
Larry Sanders,Larry Sanders,1865546,0,0,0,0,0
Shake Milton,Shake Milton,1846738,1997718,0,0,0,0
Jalen Brunson,Jalen Brunson,1802057,0,0,0,0,0
Mitchell Robinson,Mitchell Robinson,1802057,0,0,0,0,0
Tony Bradley,Tony Bradley,1789256,2036318,0,0,0,0
Frank Ntilikina,Frank Ntilikina,1789256,2036318,0,0,0,0
Malik Monk,Malik Monk,1789256,0,0,0,0,0
Semi Ojeleye,Semi Ojeleye,1789256,0,0,0,0,0
Dennis Smith,Dennis Smith Jr,1789256,0,0,0,0,0
Didi Louzada,Didi Louzada,1786878,1876222,1965566,2057646,0,0
Kevin Porter,Kevin Porter Jr,1782621,3217631,4826446,0,0,0
Jalen McDaniels,Jalen McDaniels,1782621,1930681,0,0,0,0
Terance Mann,Terance Mann,1782621,1930681,10576923,11423077,0,0
Jaylen Nowell,Jaylen Nowell,1782621,1930681,0,0,0,0
Naz Reid,Naz Reid,1782621,1930681,0,0,0,0
Isaiah Roby,Isaiah Roby,1782621,1930681,0,0,0,0
Daniel Gafford,Daniel Gafford,1782621,1930681,12402000,13394160,0,0
Bruno Fernando,Bruno Fernando,1782621,0,0,0,0,0
Nicolas Claxton,Nic Claxton,1782621,0,0,0,0,0
Cody Martin,Cody Martin,1782621,0,0,0,0,0
Dean Wade,Dean Wade,1782621,1930681,0,0,0,0
Vlatko Cancar,Vlatko Cancar,1782621,0,0,0,0,0
Carsen Edwards,Carsen Edwards,1782621,0,0,0,0,0
KZ Okpala,KZ Okpala,1782621,0,0,0,0,0
Luguentz Dort,Luguentz Dort,1782621,1930681,0,0,0,0
Eric Paschall,Eric Paschall,1782621,0,0,0,0,0
Drew Eubanks,Drew Eubanks,1762796,1910860,0,0,0,0
Chimezie Metu,Chimezie Metu,1762796,1910860,0,0,0,0
Yuta Watanabe,Yuta Watanabe,1762796,0,0,0,0,0
Thanasis Antetokounmpo,Thanasis Antetokounmpo,1729217,1878720,0,0,0,0
Keita Bates-Diop,Keita Bates-Diop,1729217,1878720,0,0,0,0
Sviatoslav Mykhailiuk,Svi Mykhailiuk,1729217,1878720,0,0,0,0
